CANALE;DATA;Npdv;VALORE;QUANTITA;;;;
2;01/12/2009;11;10780493;5174406;;;;
2;01/01/2010;11;6184915;3896952;;;;
2;01/02/2010;11;5999052;3903525;;;;
2;01/03/2010;11;7877026;5221801;;;;
2;01/04/2010;11;8480800;5472887;;;;
2;01/05/2010;11;9434216;6201591;;;;
2;01/06/2010;11;12133025;8177633;;;;
2;01/07/2010;11;14606851;10440638;;;;
2;01/08/2010;11;14824806;9895807;;;;
2;01/09/2010;11;8847183;5748344;;;;
2;01/10/2010;11;7299627;4551610;;;;
2;01/11/2010;11;7324459;4346153;;;;
2;01/12/2010;11;11032637;5102227;;;;
2;01/01/2011;11;6535222;3956565;;;;
2;01/02/2011;11;6320860;3962182;;;;
2;01/03/2011;12;7956991;5076433;;;;
2;01/04/2011;12;10238549;6408387;;;;
2;01/05/2011;12;10086821;6594592;;;;
2;01/06/2011;12;13561186;8876039;;;;
2;01/07/2011;12;15227548;10327299;;;;
2;01/08/2011;12;16740832;11171161;;;;
2;01/09/2011;12;10156480;6630201;;;;
2;01/10/2011;12;7876924;4896501;;;;
2;01/11/2011;13;7723159;4555830;;;;
2;01/12/2011;13;11645392;5358708;;;;
2;01/01/2012;13;6792184;4168160;;;;
2;01/02/2012;13;6387799;4060401;;;;
2;01/03/2012;14;9156136;5547706;;;;
2;01/04/2012;14;10131588;6084891;;;;
2;01/05/2012;14;10809034;6960762;;;;
2;01/06/2012;14;14172079;9375738;;;;
2;01/07/2012;14;16061340;11213081;;;;
2;01/08/2012;14;17483822;11744041;;;;
2;01/09/2012;14;9876636;6196863;;;;
2;01/10/2012;14;8746328;5383350;;;;
2;01/11/2012;15;8567505;4961868;;;;
2;01/12/2012;15;12677481;5705336;;;;
2;01/01/2013;15;7822535;4706840;;;;
2;01/02/2013;15;7316794;4385949;;;;
2;01/03/2013;15;10096285;5860984;;;;
2;01/04/2013;15;10124362;6199327;;;;
2;01/05/2013;15;11685088;7095003;;;;
2;01/06/2013;15;14517111;9108773;;;;
2;01/07/2013;15;18016902;11843484;;;;
2;01/08/2013;15;18831816;12050727;;;;
2;01/09/2013;15;11172690;6797879;;;;
2;01/10/2013;15;9385571;5657529;;;;
2;01/11/2013;15;9045271;5145446;;;;
2;01/12/2013;15;12756311;5656232;;;;
2;01/01/2014;15;8317835;4944742;;;;
2;01/02/2014;15;7742894;4645526;;;;
